check,result,detail
meta_jh_char_archer_idle.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_player_atk_00.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_player_atk_01.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_player_atk_02.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_player_atk_03.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_player_roll_00.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_player_roll_01.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_player_roll_02.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_player_roll_03.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_enemy_s1_dog_atk_00.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_enemy_s1_dog_atk_01.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_enemy_s1_dog_die_00.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_enemy_s1_dog_die_01.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_enemy_s1_dog_elite_atk_00.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_enemy_s1_dog_elite_idle.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_enemy_s1_dog_hit.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_enemy_s1_dog_idle.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_enemy_s1_dog_move.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_enemy_s1_mage_atk_00.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_enemy_s1_mage_atk_01.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_enemy_s1_mage_die_00.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_enemy_s1_mage_die_01.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_enemy_s1_mage_elite_atk_00.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_enemy_s1_mage_elite_idle.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_enemy_s1_mage_hit.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_enemy_s1_mage_idle.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_enemy_s1_mage_move.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_enemy_s1_melee_atk_00.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_enemy_s1_melee_atk_01.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_enemy_s1_melee_die_00.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_enemy_s1_melee_die_01.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_enemy_s1_melee_elite_atk_00.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_enemy_s1_melee_elite_idle.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_enemy_s1_melee_hit.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_enemy_s1_melee_idle.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_enemy_s1_melee_move.png,PASS,PPU=32 Pivot=0.5,0.15 filter=0
meta_jh_proj_mage_orb_impact_00.png,PASS,PPU=32 Pivot=0.5,0.5 filter=0
meta_jh_proj_mage_orb_impact_01.png,PASS,PPU=32 Pivot=0.5,0.5 filter=0
