hook_id,art_root,category,states,notes
Chest_*,jh_prop_chest,prop,closed|open,HOOKS id unchanged; file jh_prop_chest_<state>.png
A_*,jh_prop_altar,prop,idle|active,A1-A6
A_Shared,jh_prop_altar,prop,idle|active,same altar root
Shop_01,jh_prop_shop_01,prop,,keep shop_01 spelling
BOSS,jh_boss_lord,boss,idle,optional marker
START,jh_char_archer,char,idle,player spawn uses jh_char_archer_idle
arrow,jh_proj_arrow_fly,proj,flight,PHASE1; alias jh_proj_arrow; faces +X; pivot (0.2,0.5); charge tip stays jh_fx_charge_arrow_tip
orb,jh_proj_orb_mage_fly,proj,flight,PHASE1 32x32 center; alias jh_proj_mage_orb; old jh_fx_mage_orb still on disk
floor_start,jh_tile_floor_spawn,tile,tiled,Stage1 START room
floor_combat,jh_tile_floor_corridor,tile,tiled,Normal combat + corridors
floor_altar,jh_tile_floor_altar,tile,tiled,Altar room
floor_chest,jh_tile_floor_hub,tile,tiled,Chest rooms
wall,jh_wall_stone_s,tile,tiled,AABB center pivot; CollisionVolume explicit hx/hy
door,jh_prop_gate_hub,prop,tiled,locked door volume; localScale=1
player_anim,jh_char_archer,char,idle+roll_## stubs,PHASE1 roll_00..07; GAP walk/charge/atk/hurt/die/_dir
enemy_anim,jh_enemy_e1_skel,enemy,idle only,GAP walk/atk not in repo; other kinds share E1 idle
