id,name,stat,value,value_type,desc,tier,shop_price,note
R1L,锋矢,damage,0.10,percent,伤害+10%,low,18-22,叠乘·无高档
R1M,锋矢,damage,0.20,percent,伤害+20%,mid,36-44,叠乘·无高档
R2L,疾张,charge_time,-0.0909,percent,满蓄缩短9.09%,low,18-22,叠乘·无高档
R2M,疾张,charge_time,-0.1667,percent,满蓄缩短16.67%,mid,36-44,叠乘·无高档
R3,鸿运,crit_window,0.06,seconds,幸运窗+0.06s,high,54-66,特殊·非DPS
R4L,骨甲,max_hp,0.10,percent,最大生命+10%,low,18-22,叠乘·非DPS·无高档
R4M,骨甲,max_hp,0.20,percent,最大生命+20%,mid,36-44,叠乘·非DPS·无高档
R5L,残影,move_speed,0.10,percent,移速+10%,low,18-22,叠乘·非DPS·无高档
R5M,残影,move_speed,0.20,percent,移速+20%,mid,36-44,叠乘·非DPS·无高档
R6L,盗墓者,gold_gain,0.10,percent,掉金+10%,low,18-22,叠乘·非DPS·无高档
R6M,盗墓者,gold_gain,0.20,percent,掉金+20%,mid,36-44,叠乘·非DPS·无高档
R7M,瞬击预感,crit_rate,0.26,percent_add,暴击率+26%,mid,36-44,加算·无低档
R7H,瞬击预感,crit_rate,0.39,percent_add,暴击率+39%,high,54-66,加算
R8H,破甲猛击,crit_damage,0.65,percent,暴击伤害+65%,high,54-66,叠乘·相对默认×2.0
R9H,隙矢追猎,weak_damage,0.65,percent,弱点攻击伤害+65%,high,54-66,叠乘·相对默认×2.0
R10,止血,heal,0.40,percent_max_hp,回复40%最大生命,mid,36-44,特殊·回血池
R11L,满血额外伤害,dmg_vs_fullhp,0.15,percent,满血目标伤害+15%,low,18-22,叠乘·无高档
R11M,满血额外伤害,dmg_vs_fullhp,0.30,percent,满血目标伤害+30%,mid,36-44,叠乘·无高档
R12M,进房间5s内加攻,atk_enter_room_5s,0.20,percent,进房5s内攻击+20%,mid,36-44,叠乘·无低档
R12H,进房间5s内加攻,atk_enter_room_5s,0.40,percent,进房5s内攻击+40%,high,54-66,叠乘
R13H,攻击吸血,lifesteal,0.15,percent,攻击吸血15%,high,54-66,叠乘·仅高
R14H,穿透后排,pierce_back,0.30,percent_add,穿透后排伤害+30%,high,54-66,加算·每次+30%·Σ≥100%后不进池
# 权威：制作人裁定 2026-09-22 补 R11–R14；震矢不在本表（单独 R15）
# 已删 R1H/R2H/R4H/R5H/R6H。高档池：R3/R7H/R8H/R9H/R12H/R13H/R14H
# 叠乘默认；例外：R7/R14 加算。价当量 1:2:3（高54-66）
# 去重/回归见 balance_offer_rules_箭骸.csv
