phase,comp_id,tier,comp_label,n_total,composition,use_room,enh_rule,notes
1,S1-N1,normal,1N+1D+1M,3,普通小怪×1+狗×1+邪法师×1,普通房/普通宝箱,强化=同种构图 +1只（优先加狗或普）；若已4只则改1只精英(HP×1.25/伤×1.15),三角均衡
1,S1-E1,enhanced,1N+1D+1M+1,4,普通小怪×1+狗×2+邪法师×1,祭坛/大宝箱,强化:+1 狗,count
1,S1-N2,normal,2N+1D,3,普通小怪×2+狗×1,普通房/普通宝箱,强化=同种构图 +1只（优先加狗或普）；若已4只则改1只精英(HP×1.25/伤×1.15),近战压
1,S1-E2,enhanced,2N+1D+1,4,普通小怪×2+狗×2,祭坛/大宝箱,强化:+1 狗,count
1,S1-N3,normal,2D+1M,3,狗×2+邪法师×1,普通房/普通宝箱,强化=同种构图 +1只（优先加狗或普）；若已4只则改1只精英(HP×1.25/伤×1.15),狗速切+法球
1,S1-E3,enhanced,2D+1M+1,4,狗×3+邪法师×1,祭坛/大宝箱,强化:+1 狗,count
1,S1-N4,normal,2N+2M,4,普通小怪×2+邪法师×2,普通房/普通宝箱,强化=同种构图 +1只（优先加狗或普）；若已4只则改1只精英(HP×1.25/伤×1.15),法球交叉
1,S1-E4,enhanced,2N+2M+精英,4,普通小怪×2+邪法师×2,祭坛/大宝箱,强化:1只精英 HP×1.25 伤×1.15,elite
1,S1-N5,normal,1N+2D+1M,4,普通小怪×1+狗×2+邪法师×1,普通房/普通宝箱,强化=同种构图 +1只（优先加狗或普）；若已4只则改1只精英(HP×1.25/伤×1.15),满编4
1,S1-E5,enhanced,1N+2D+1M+精英,4,普通小怪×1+狗×2+邪法师×1,祭坛/大宝箱,强化:1只精英 HP×1.25 伤×1.15,elite
2,S2-N1,normal,1N+1对D+1M,4,普通小怪×1+狗×2+邪法师×1,普通房/普通宝箱,强化=+1只（优先普/邪法）或1精英；大宝箱再+1～2（占位加量=强化n+1或+2）,狗成对计数=2
2,S2-E1,enhanced,1N+1对D+1M+精英,4,普通小怪×1+狗×2+邪法师×1,祭坛/大宝箱,强化:1只精英 HP×1.25 伤×1.15,elite
2,S2-N2,normal,2N+1S,3,普通小怪×2+盾兵×1,普通房/普通宝箱,强化=+1只（优先普/邪法）或1精英；大宝箱再+1～2（占位加量=强化n+1或+2）,盾墙
2,S2-E2,enhanced,2N+1S+1,4,普通小怪×3+盾兵×1,祭坛/大宝箱,强化:+1 普通小怪,count
2,S2-N3,normal,1对D+1M+1S,4,狗×2+邪法师×1+盾兵×1,普通房/普通宝箱,强化=+1只（优先普/邪法）或1精英；大宝箱再+1～2（占位加量=强化n+1或+2）,远程+盾
2,S2-E3,enhanced,1对D+1M+1S+精英,4,狗×2+邪法师×1+盾兵×1,祭坛/大宝箱,强化:1只精英 HP×1.25 伤×1.15,elite
2,S2-N4,normal,2N+1对D,4,普通小怪×2+狗×2,普通房/普通宝箱,强化=+1只（优先普/邪法）或1精英；大宝箱再+1～2（占位加量=强化n+1或+2）,近战突刺压
2,S2-E4,enhanced,2N+1对D+精英,4,普通小怪×2+狗×2,祭坛/大宝箱,强化:1只精英 HP×1.25 伤×1.15,elite
2,S2-N5,normal,1N+1M+1S,3,普通小怪×1+邪法师×1+盾兵×1,普通房/普通宝箱,强化=+1只（优先普/邪法）或1精英；大宝箱再+1～2（占位加量=强化n+1或+2）,三角+盾
2,S2-E5,enhanced,1N+1M+1S+1,4,普通小怪×2+邪法师×1+盾兵×1,祭坛/大宝箱,强化:+1 普通小怪,count
3,S3-N1,normal,1A+1N+1D,3,大邪术师×1+普通小怪×1+狗×1,普通房/普通宝箱,强化=+1（优先狗/普）或1精英；含A的组合强化不加第二A除非原已双A,大邪核心
3,S3-E1,enhanced,1A+1N+1D+1,4,大邪术师×1+普通小怪×1+狗×2,祭坛/大宝箱,强化:+1 狗,count
3,S3-N2,normal,1A+1对D+1M,4,大邪术师×1+狗×2+邪法师×1,普通房/普通宝箱,强化=+1（优先狗/普）或1精英；含A的组合强化不加第二A除非原已双A,弹幕
3,S3-E2,enhanced,1A+1对D+1M+精英,4,大邪术师×1+狗×2+邪法师×1,祭坛/大宝箱,强化:1只精英 HP×1.25 伤×1.15,elite
