phase,enemy,ttk_s_0B,hp_mid,hp_lo,hp_hi,atk,atk_kind,notes
1,普通小怪,3.0,39,35,43,12,melee,S2含突刺另列
1,狗,1.5,20,18,22,10,melee,S2成对
1,邪法师,2.0,26,23,29,14,orb,
2,普通小怪,3.0,39,35,43,12,melee,近战同S1；突刺伤[30,40]
2,狗,1.5,20,18,22,10,melee,成对
2,邪法师,2.0,26,23,29,14,orb,
2,盾兵,4.0,52,46,58,15,melee,不举盾锚
3,普通小怪,3.0,39,35,43,12,melee,S2含突刺另列;S3可出；属性同前阶段基础
3,狗,1.5,20,18,22,10,melee,S2成对;S3可出；属性同前阶段基础
3,邪法师,2.0,26,23,29,14,orb,S3可出；属性同前阶段基础
3,盾兵,4.0,52,46,58,15,melee,不举盾锚;S3可出；属性同前阶段基础
3,大邪术师,3.0,39,35,43,12,orb_each,单球；×3发
2,普通小怪_突刺,,,—,—,30-40,thrust,初始/简单档绝对伤
META,hp_float,±10%,,,,相对hp_mid；刷怪时在[lo,hi]内取整
META,dps_0B,13,,,,制作人公式
META,phase_stat_growth,0,,,,阶段间基础不涨
META,lock,0,,,,草案不锁
