enemy,phase_pool,kb_dist_mid,kb_dist_lo,kb_dist_hi,impulse_rel,move_spd_ref,notes
普通小怪,S1-S3,2.7,2.43,2.97,0.62,4.5,kb≈move×0.6；回位≈0.6s
狗,S1-S3,4.32,3.89,4.75,1.0,7.2,kb≈move×0.6；回位≈0.6s
邪法师,S1-S3,2.16,1.94,2.38,0.5,3.6,kb≈move×0.6；回位≈0.6s
盾兵_不举盾,S2-S3,2.7,2.43,2.97,0.62,4.5,kb≈move×0.6；回位≈0.6s；按举盾移速2.25
盾兵_举盾,S2-S3,1.35,1.21,1.48,0.31,2.25,kb≈move×0.6；回位≈0.6s；按举盾移速2.25
大邪术师,S3,1.98,1.78,2.18,0.46,3.3,kb≈move×0.6；回位≈0.6s
BOSS_箭骸领主,BOSS,0.3,0.2,0.4,0.12,,弱击退；不适用0.6s回位公式
META,t_return_s,0.6,,,,,击退后回到原位花费
META,formula,kb_dist=move_spd*t_return,,,,,普通敌人
META,trigger,full_charge_hit,,,,,满蓄命中；非必须弱点
META,weak_charge,0,,,,,弱蓄不击退
META,E_wave,same_as_species,,,,,
META,accept,±10%,,,,,相对mid
META,lock,0,,,,,草案不锁
