# Stage-1 spawn land (CombatRoomSpawn) maze seed=42 CHEST 52x40
# bypass SpawnCluster.Offset even-ring r=0.85
# room-AABB uniform inset=wall+body; melee nearest 40%; ranged farthest 40%
# minPlayer=2 (HOOKS chest r); avoid chest/altar BoxCollider2D + NoSpawnCore
# player=south inset; fake chest at center+(0,0.4)
# replica=python Knuth System.Random (Unity/Mono); CHEST center=-82,58
trial,role,x,y,dist_player,dist_center,avoid_hit,min_player_hit,even_ring
0,melee,-91.604,60.508,22.601,9.927,0,0,0
0,ranged,-58.436,58.989,30.232,23.584,0,0,0
1,melee,-69.258,56.252,20.612,12.862,0,0,0
1,ranged,-75.002,75.653,36.285,18.990,0,0,0
2,melee,-72.670,54.726,17.390,9.888,0,0,0
2,ranged,-100.629,71.466,36.525,22.987,0,0,0
3,melee,-87.438,40.265,5.442,18.550,0,0,0
3,ranged,-91.113,71.078,32.338,15.940,0,0,0
4,melee,-72.569,53.308,16.270,10.534,0,0,0
4,ranged,-102.537,59.802,28.494,20.616,0,0,0
5,melee,-81.394,53.214,13.178,4.824,0,0,0
5,ranged,-60.378,75.149,41.225,27.597,0,0,0
6,melee,-77.594,45.173,6.757,13.562,0,0,0
6,ranged,-75.117,73.981,34.622,17.400,0,0,0
7,melee,-91.125,49.799,13.354,12.269,0,0,0
7,ranged,-99.305,59.990,26.402,17.419,0,0,0
8,melee,-68.642,47.918,15.503,16.736,0,0,0
8,ranged,-81.003,67.515,27.483,9.567,0,0,0
9,melee,-63.893,47.547,19.598,20.908,0,0,0
9,ranged,-87.081,70.634,31.003,13.617,0,0,0
10,melee,-90.318,49.181,12.352,12.122,0,0,0
10,ranged,-63.463,70.822,35.924,22.539,0,0,0
11,melee,-98.318,40.366,16.321,24.026,0,0,0
11,ranged,-81.031,71.142,31.107,13.178,0,0,0
12,melee,-79.661,44.855,5.344,13.352,0,0,0
12,ranged,-104.645,62.045,31.568,23.003,0,0,0
13,melee,-81.236,43.416,3.451,14.604,0,0,0
13,ranged,-64.099,73.819,38.220,23.889,0,0,0
14,melee,-59.392,41.484,22.654,27.999,0,0,0
14,ranged,-97.345,64.240,28.646,16.565,0,0,0
15,melee,-93.067,40.341,11.071,20.841,0,0,0
15,ranged,-85.862,70.810,31.002,13.380,0,0,0
16,melee,-73.393,42.840,9.048,17.433,0,0,0
16,ranged,-102.003,67.881,34.273,22.310,0,0,0
17,melee,-85.698,50.663,11.239,8.216,0,0,0
17,ranged,-61.185,63.766,31.555,21.599,0,0,0
18,melee,-88.064,54.883,16.025,6.818,0,0,0
18,ranged,-95.936,67.934,31.172,17.114,0,0,0
19,melee,-100.062,46.366,19.135,21.485,0,0,0
19,ranged,-70.329,67.872,30.171,15.286,0,0,0
20,melee,-68.704,48.035,15.510,16.615,0,0,0
20,ranged,-62.684,63.089,30.065,19.975,0,0,0
21,melee,-81.797,53.437,13.389,4.567,0,0,0
21,ranged,-99.353,65.679,30.951,18.976,0,0,0
22,melee,-100.081,39.514,18.089,25.858,0,0,0
22,ranged,-69.920,76.883,38.763,22.416,0,0,0
23,melee,-81.543,49.595,9.556,8.418,0,0,0
23,ranged,-103.776,76.157,42.165,28.352,0,0,0
24,melee,-89.950,61.015,22.422,8.503,0,0,0
24,ranged,-86.163,71.154,31.381,13.797,0,0,0
25,melee,-91.229,49.807,13.431,12.341,0,0,0
25,ranged,-105.883,49.726,25.769,25.275,0,0,0
26,melee,-92.787,57.143,20.212,10.821,0,0,0
26,ranged,-102.691,66.887,33.888,22.519,0,0,0
27,melee,-95.492,58.648,22.977,13.507,0,0,0
27,ranged,-82.765,75.127,35.085,17.144,0,0,0
28,melee,-71.750,39.543,10.263,21.112,0,0,0
28,ranged,-79.352,64.340,24.434,6.871,0,0,0
29,melee,-98.441,38.883,16.482,25.214,0,0,0
29,ranged,-106.871,62.667,33.616,25.305,0,0,0
30,melee,-65.649,53.959,21.467,16.843,0,0,0
30,ranged,-83.804,68.922,28.928,11.070,0,0,0
31,melee,-78.272,52.208,12.717,6.888,0,0,0
31,ranged,-75.938,73.771,34.261,16.896,0,0,0
32,melee,-80.993,45.819,5.857,12.222,0,0,0
32,ranged,-58.986,74.399,41.346,28.259,0,0,0
33,melee,-68.988,47.940,15.217,16.447,0,0,0
33,ranged,-107.129,46.139,25.856,27.787,0,0,0
34,melee,-67.341,41.451,14.725,22.108,0,0,0
34,ranged,-60.340,74.091,40.347,26.982,0,0,0
35,melee,-79.772,41.532,2.675,16.618,0,0,0
35,ranged,-88.219,68.615,29.234,12.302,0,0,0
36,melee,-75.296,58.505,19.635,6.723,0,0,0
36,ranged,-105.874,48.912,25.466,25.546,0,0,0
37,melee,-75.752,46.664,9.098,12.943,0,0,0
37,ranged,-63.961,61.137,27.751,18.310,0,0,0
38,melee,-88.906,56.762,18.083,7.016,0,0,0
38,ranged,-57.666,62.266,32.949,24.705,0,0,0
39,melee,-101.157,51.754,22.449,20.150,0,0,0
39,ranged,-60.006,72.661,39.334,26.432,0,0,0
# summary
metric,value,note
melee_n,40,trials
ranged_n,40,trials
melee_mean,14.540,dist to player
ranged_mean,32.496,dist to player
mean_gap,17.956,ranged-melee (need >1.5)
melee_min,2.675,min dist player
ranged_min,24.434,min dist player
melee_p10,5.442,dist_player
melee_p50,15.217,dist_player
melee_p90,22.422,dist_player
ranged_p10,25.856,dist_player
ranged_p50,31.381,dist_player
ranged_p90,39.334,dist_player
